Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2014-08-06,110,19442,12733444,660,649,650
2014-08-07,136,27587,17792836,668,635,655
2014-08-12,62,7449,4790514,649,630,645
2014-08-13,98,13102,8449188,660,633,660
2014-08-14,84,15244,10054548,670,647,657
2014-08-18,143,37244,22612552,644,595,612
2014-08-19,110,17808,10869120,620,596,610
2014-08-20,85,19673,11856208,610,588,605
2014-08-21,70,12597,7501131,609,580,600
2014-08-24,47,12176,7224524,607,586,600
2014-08-25,55,13049,7367250,588,548,559
2014-08-26,72,13423,7398733,590,527,532
2014-08-27,68,13712,7637563,585,540,559
2014-08-28,44,9333,5290522,581,555,555
2014-08-31,34,7186,3881419,555,529,544
2014-09-01,21,8096,4263430,540,524,540
2014-09-03,56,6177,3338441,550,531,534
2014-09-04,44,13269,6900500,528,514,516
2014-09-07,34,8707,4224592,513,477,477
2014-09-09,50,6261,3123354,514,480,510
2014-09-10,64,17200,9003879,550,502,515
2014-09-11,37,5116,2564786,515,494,510
2014-09-14,46,11790,5894531,507,495,501
2014-09-15,42,4559,2263865,500,490,495
2014-09-16,41,5664,2813054,500,493,500
2014-09-17,24,2141,1059526,501,491,491
2014-09-18,31,4308,2113234,500,485,500
2014-09-21,28,4876,2330048,491,472,473
2014-09-22,40,4694,2150250,478,450,463
2014-09-23,21,1603,812465,509,472,509
2014-09-24,126,27922,14918155,555,509,533
2014-09-28,36,5441,2872819,535,520,533
2014-09-29,27,2590,1383477,549,526,549
2014-09-30,15,4135,2203088,545,522,522
2014-10-08,20,1950,1004294,520,507,520
2014-10-09,19,4332,2232742,520,514,515
2014-10-12,17,3534,1775044,519,494,499
2014-10-13,63,6363,3163546,501,490,496
2014-10-14,20,2216,1115048,505,496,500
2014-10-15,29,3468,1751854,510,500,508
2014-10-16,37,2026,1036190,515,500,512
2014-10-19,32,2531,1283847,524,495,524
2014-10-20,20,1855,943601,515,504,512
2014-10-21,27,1623,825062,517,506,506
2014-10-22,19,2166,1085421,514,495,505
2014-10-26,5,318,158551,501,495,501
2014-10-27,14,826,414552,508,500,508
2014-10-28,26,3103,1559251,507,496,503
2014-10-30,29,3239,1615458,502,496,496
2014-11-02,19,3479,1691461,488,484,487
2014-11-03,28,2984,1438935,490,476,478
